NAMES,TICKER,ABOUT
American Intl Group,AIG,"American International Group, Inc., also known as AIG, is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. As of December 31, 2016, AIG companies employed 56,400 people. The company operates through three core businesses: General Insurance, Life & Retirement, and a standalone technology-enabled subsidiary. General Insurance includes Commercial, Personal Insurance, U.S. and International field operations. Life & Retirement includes Group Retirement, Individual Retirement, Life, and Institutional Markets.AIG's corporate headquarters are in New York City and the company also has offices around the world. AIG serves 87% of the Fortune Global 500 and 83% of the Forbes 2000. AIG was ranked 60th on the 2018 Fortune 500 list. According to the 2016 Forbes Global 2000 list, AIG is the 87th largest public company in the world. On December 31, 2017, AIG had $65.2 billion in shareholder equity.During the financial crisis of 2008, the Federal Reserve bailed the company out for $180 billion and assumed control, with the Financial Crisis Inquiry Commission correlating AIG's failure with the mass sales of unhedged insurance. In 2011 the nationalization of AIG was ruled illegal, and after regaining autonomy, AIG repaid $205 billion to the United States government in 2012."
NiSource,NI,"NiSource Inc. is one of the largest fully regulated utility companies in the United States, serving approximately 3.5 million natural gas customers and 500,000 electric customers across seven states through its local Columbia Gas and NIPSCO brands. The company, based in Merrillville, Indiana, United States, has more than 8,000 employees."
Best Buy,BBY,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music. In 1983, it was re-branded under its current name with an emphasis placed on consumer electronics.
Best Buy operates internationally in Canada and Mexico, and formerly operated in China until February 2011 (when the faction was merged with Five Star). The company also operated in Europe until 2012. Its subsidiaries include Geek Squad, Magnolia Audio Video, and Pacific Sales. Best Buy also operates the Best Buy Mobile and Insignia brands in North America, plus Five Star in China. Best Buy sells cellular phones from Verizon Wireless, AT&T Mobility, Sprint Corporation in the United States. In Canada, carriers include Bell Mobility, Rogers Wireless, Telus Mobility, their fighter brands, and competing smaller carriers, such as SaskTel.
Best Buy was named ""Company of the Year"" by Forbes magazine in 2004, ""Specialty Retailer of the Decade"" by Discount Store News in 2001, ranked in the Top 10 of ""America's Most Generous Corporations"" by Forbes in 2005 (based on 2004 giving), made Fortune magazine's list of ""Most Admired Companies"" in 2006. and ""The Most Sustainable Company in the United States"" by Barron's in 2019. Hubert Joly is executive chairman of Best Buy, having been succeeded as CEO by Corie Barry in June 2019. According to Yahoo! Finance, Best Buy is the largest specialty retailer in the United States consumer electronics retail industry. The company ranked No. 72 in the 2018 Fortune 500 list of the largest United States corporations by total revenue."
Emerson Electric,EMR,"Emerson Electric Co. is an American multinational corporation headquartered in Ferguson, Missouri, United States. This Fortune 500 company manufactures products and provides engineering services for a wide range of industrial, commercial, and consumer markets. 
Emerson has approximately 76,500 employees and 205 manufacturing locations worldwide."
Cardinal Health,CAH,"Cardinal Health, Inc. is an American multinational health care services company, and the 14th highest revenue generating company in the United States. Its headquarters are based in Dublin, Ohio and Dublin, Ireland (EMEA). The company specializes in distribution of pharmaceuticals and medical products, serving more than 100,000 locations. The company also manufactures medical and surgical products, including gloves, surgical apparel and fluid management products. In addition, it operates the largest network of radiopharmacies in the U.S. Cardinal Health provides medical products to over 75 percent of hospitals in the United States."
Raytheon,RTN,"The Raytheon Company is a major U.S. defense contractor and industrial corporation with core manufacturing concentrations in weapons and military and commercial electronics. It was previously involved in corporate and special-mission aircraft until early 2007. Raytheon is the world's largest producer of guided missiles. On June 9, 2019, Raytheon announced a merger of equals with the aerospace companies of United Technologies.Established in 1922, the company reincorporated in 1928 and adopted its present name in 1959. As of 2018 the company had around 67,000 employees worldwide and annual revenues of approximately US$25.35 billion. More than 90% of Raytheon's revenues were obtained from military contracts and, as of 2012, it was the fifth-largest military contractor in the world. As of 2015, it is the third largest defense contractor in the United States by defense revenue.In 2003, Raytheon's headquarters moved from Lexington, Massachusetts, to Waltham, Massachusetts. The company had previously been headquartered in Cambridge, Massachusetts, from 1922 to 1928, Newton, Massachusetts, from 1928 to 1941, Waltham from 1941 to 1961 and Lexington from 1961 to 2003."
Lincoln National,LNC,"Lincoln National Corporation is a Fortune 250 American holding company, which operates multiple insurance and investment management businesses through subsidiary companies.  Lincoln Financial Group is the marketing name for LNC and its subsidiary companies.
LNC was organized under the laws of the state of Indiana in 1968, and maintains its principal executive offices in Radnor, Pennsylvania.  The company traces its roots to its earliest predecessor founded in 1905.
In addition, LNC is the naming rights sponsor of Lincoln Financial Field in Philadelphia, home field of the Philadelphia Eagles of the National Football League."
Lam Research,LRCX,"Lam Research Corporation is an American corporation that engages in the design, manufacture, marketing, and service of semiconductor processing equipment used in the fabrication of integrated circuits. Its products are used primarily in front-end wafer processing, which involves the steps that create the active components of semiconductor devices (transistors, capacitors) and their wiring (interconnects). The company also builds equipment for back-end wafer-level packaging (WLP), and for related manufacturing markets such as for microelectromechanical systems (MEMS).
Lam Research was founded in 1980 by Dr. David K. Lam and is headquartered in Fremont, California, in the Silicon Valley. As of 2018, it was the second largest manufacturer in the Bay Area, after Tesla."
Schwab,SCHW,"The Charles Schwab Corporation is a bank and stock brokerage firm based in San Francisco, California. It was founded in 1971 by Charles R. Schwab. It is ranked 13th on the list of largest banks in the United States and it is also one of the largest brokerage firms in the United States. The company offers an electronic trading platform to trade financial assets including common stocks, preferred stocks, futures contracts, exchange-traded funds, options, mutual funds, and fixed income investments. It also provides margin lending, and cash management services, as well as services through registered investment advisers.
Schwab operates in four main divisions: investing, wealth management, banking, and trading. As of December 31, 2017, the company had 10.755 million active client brokerage accounts, with $3.362 trillion in assets. The company operates 345 branches in 46 states, as well as branches in both Puerto Rico and London."
Walmart,WMT,"Walmart Inc. ( ; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores, headquartered in Bentonville, Arkansas. The company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. It also owns and operates Sam's Club retail warehouses. As of July 31, 2019, Walmart has 11,389 stores and clubs in 27 countries, operating under 55 different names. The company operates under the name Walmart in the United States and Canada, as Walmart de México y Centroamérica in Mexico and Central America, as Asda in the United Kingdom, as the Seiyu Group in Japan, and as Best Price in India. It has wholly owned operations in Argentina, Chile, Canada, and South Africa. Since August 2018, Walmart only holds a minority stake in Walmart Brasil, which was renamed Grupo Big in August 2019, with 20 percent of the company's shares, and private equity firm Advent International holding 80 percent ownership of the company.
Walmart is the world's largest company by revenue, with US$514.405 billion, according to the Fortune Global 500 list in 2019. It is also the largest private employer in the world with 2.2 million employees. It is a publicly traded family-owned business, as the company is controlled by the Walton family. Sam Walton's heirs own over 50 percent of Walmart through their holding company Walton Enterprises and through their individual holdings. Walmart was the largest U.S. grocery retailer in 2019, and 65 percent of Walmart's US$510.329 billion sales came from U.S. operations.Walmart was listed on the New York Stock Exchange in 1972. By 1988, it was the most profitable retailer in the U.S., and it had become the largest in terms of revenue by October 1989. The company originally was geographically limited to the South and lower Midwest, but it had stores from coast to coast by the early 1990s. Sam's Club opened in New Jersey in November 1989 and the first California outlet opened in Lancaster, California in July 1990. A Walmart in York, Pennsylvania opened in October 1990, the first main store in the Northeast.Walmart's investments outside the U.S. have seen mixed results. Its operations and subsidiaries in Canada, the United Kingdom, Central America, South America and China are highly successful, whereas its ventures failed in Germany and South Korea."
Whirlpool,WHR,"A whirlpool (or maelstrom) is a body of rotating water produced by opposing currents or a current running into an obstacle. Small whirlpools form when a bath or a sink is draining. More powerful ones in seas or oceans may be termed maelstroms. Vortex is the proper term for a whirlpool that has a downdraft.In narrow ocean straits with fast flowing water, whirlpools are often caused by tides. Many stories tell of ships being sucked into a maelstrom, although only smaller craft are actually in danger. Smaller whirlpools appear at river rapids and can be observed downstream of manmade structures such as weirs and dams. Large cataracts, such as Niagara Falls, produce strong whirlpools.

"
Kohls Corp,KSS,"Kohl's is an American department store retail chain, operated by Kohl's Corporation. With 1,158 locations, it is the largest department store chain in the United States as of February 2013. The company was founded by Polish immigrant Maxwell Kohl, who opened a corner grocery store in Milwaukee, Wisconsin in 1927. Branching out from its successful grocery store chain, the company opened its first department store in 1962. British American Tobacco Company took a controlling interest in the company in 1972 while still managed by the Kohl Family, and in 1979, the corporation was sold to BATUS Inc.  A group of investors purchased the company in 1986 from British American Tobacco and took it public in 1992.
The company is headquartered in the Milwaukee suburb of Menomonee Falls, Wisconsin, operating stores in every U.S. state except Hawaii. Kohl's became the largest department store chain in the United States in May 2012, surpassing its biggest competitor J. C. Penney. The company is listed on both the S&P 500 (since 1998) and the Fortune 500. In terms of revenue, the chain was the 20th-largest retailer in the United States in 2013. As of 2013, Kohl's was the second-largest U.S. department store company by retail sales."
Expedia Group,EXPE,"Expedia Group is an American global travel technology company. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include CarRentals.com, Expedia.com, HomeAway, Hotels.com, Hotwire.com, Orbitz, Travelocity, trivago, and Venere.com.According to Rich Barton, the company's first CEO, the word ""Expedia"" is derived from a combination of exploration and speed."
American Electric Power,AEP,"American Electric Power (AEP) is a major investor-owned electric utility in the United States of America, delivering electricity to more than five million customers in 11 states.
AEP ranks among the nation's largest generators of electricity, owning nearly 38,000 megawatts of generating capacity in the U.S. AEP also owns the nation's largest electricity transmission system, a nearly 39,000-mile (63,000 km) network that includes 765 kilovolt ultra-high voltage transmission lines, more than all other U.S. transmission systems combined. AEP's transmission system directly or indirectly serves about 10 percent of the electricity demand in the Eastern Interconnection, the interconnected transmission system that covers 38 eastern and central U.S. states and eastern Canada, and approximately 11 percent of the electricity demand in the Electric Reliability Council of Texas, the transmission system that covers much of Texas.
AEP's utility units operate as AEP Ohio, AEP Texas, Appalachian Power (in Virginia, West Virginia, and Tennessee), Indiana Michigan Power, Kentucky Power, Public Service Company of Oklahoma, and Southwestern Electric Power Company (in Arkansas, Louisiana and east Texas). AEP's headquarters are in Columbus, Ohio.
American Electric Power was the first utility to utilize 345 kV transmission lines which took place in 1953.
The company ranked 185th on the 2018 Fortune 500 of the largest United States corporations by revenue."
Ball Corp,BLL,"Ball Corporation is an American company headquartered in Westminster, Colorado. It is best known for its early production of glass jars, lids, and related products used for home canning. Since its founding in Buffalo, New York, in 1880, when it was known as the Wooden Jacket Can Company, the Ball company has expanded and diversified into other business ventures, including aerospace technology, and became the world's largest manufacturer of recyclable metal beverage and food containers.
The Ball brothers renamed their business the Ball Brothers Glass Manufacturing Company, incorporated in 1886. Its headquarters, as well as its glass and metal manufacturing operations, were relocated to Muncie, Indiana, by 1889. The business was renamed the Ball Brothers Company in 1922 and the Ball Corporation in 1969. It became a publicly traded stock company on the New York Stock Exchange in 1973.
Ball exited the home canning business in 1993 by spinning off a former subsidiary (Alltrista) into a free-standing company, which renamed itself Jarden Corporation. As part of the spin-off, Jarden is licensed to use the Ball registered trademark on its line of home-canning products. Today the Ball brand mason jars and home canning supplies belongs to Newell Brands."
Mettler Toledo,MTD,"METTLER TOLEDO (NYSE: MTD) is a multinational manufacturer of scales and analytical instruments. It is the largest provider of weighing instruments for use in laboratory, industrial, and food retailing applications. The company also provides various analytical instruments, process analytics instruments, and end-of-line inspection systems.  The company operates worldwide; 70% of net sales are derived in equal part from Europe and from the Americas;  Asian business is included in the remaining 30%."
Abbvie,ABBV,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.
On Semiconductor,ON,"A semiconductor material has an electrical conductivity value falling between that of a conductor, such as metallic copper, and an insulator, such as glass. Its resistance falls as its temperature rises; metals are the opposite. Its conducting properties may be altered in useful ways by introducing impurities (""doping"") into the crystal structure. Where two differently-doped regions exist in the same crystal, a semiconductor junction is created. The behavior of charge carriers which include electrons, ions and electron holes at these junctions is the basis of diodes, transistors and all modern electronics. Some examples of semiconductors are silicon, germanium, gallium arsenide, and elements near the so-called ""metalloid staircase"" on the periodic table. After silicon, gallium arsenide is the second most common semiconductor and is used in laser diodes, solar cells, microwave-frequency integrated circuits and others. Silicon is a critical element for fabricating most electronic circuits.
Semiconductor devices can display a range of useful properties such as passing current more easily in one direction than the other, showing variable resistance, and sensitivity to light or heat. Because the electrical properties of a semiconductor material can be modified by doping, or by the application of electrical fields or light, devices made from semiconductors can be used for amplification, switching, and energy conversion.
The conductivity of silicon is increased by adding a small amount (of the order of 1 in 108) of pentavalent (antimony, phosphorus, or arsenic) or trivalent (boron, gallium, indium) atoms. This process is known as doping and resulting semiconductors are known as doped or extrinsic semiconductors. Apart from doping, the conductivity of a semiconductor can equally be improved by increasing its temperature. This is contrary to the behaviour of a metal in which conductivity decreases with increase in temperature.
The modern understanding of the properties of a semiconductor relies on quantum physics to explain the movement of charge carriers in a crystal lattice.  Doping greatly increases the number of charge carriers within the crystal. When a doped semiconductor contains mostly free holes it is called ""p-type"", and when it contains mostly free electrons it is known as ""n-type"". The semiconductor materials used in electronic devices are doped under precise conditions to control the concentration and regions of p- and n-type dopants. A single semiconductor crystal can have many p- and n-type regions; the p–n junctions between these regions are responsible for the useful electronic behavior.
Some of the properties of semiconductor materials were observed throughout the mid 19th and first decades of the 20th century. The first practical application of semiconductors in electronics was the 1904 development of the cat's-whisker detector, a primitive semiconductor diode used in early radio receivers. Developments in quantum physics in turn led to the development of the transistor in 1947, the integrated circuit in 1958, and the MOSFET (metal–oxide–semiconductor field-effect transistor) in 1959."
Prologis,PLD,"Prologis, Inc. is a multinational logistics real estate investment trust (REIT) headquartered in San Francisco, California. The company was formed through the merger of AMB Property Corporation and ProLogis in June 2011, which made Prologis the largest industrial real estate company in the world. Currently the world's largest owner of warehouses and distribution centers, Prologis operates as a publicly traded company and a member of the NYSE and S&P 500. The company is the owner, manager and developer of approximately 3,382 logistics and distribution center and logistics facilities in markets across the Americas, Asia and Europe, and serves approximately 5,000 customers across a diverse range of industries in 19 countries. As of December 31, 2017, Prologis had $79 billion in total assets under management. The company's research department publishes white papers and its own market research, including the quarterly Industrial Business Indicator and the annual Prologis Logistics Rent Index."
Regions Financial Corp,RF,"Regions Financial Corporation is a bank holding company headquartered in the Regions Center in Birmingham, Alabama. The company provides retail banking and commercial banking, trust, stockbrokerage, and mortgage services. Its banking subsidiary, Regions Bank, operates 1,952 automated teller machines and 1,454 branches in 15 states in the Southern United States and Midwestern United States.Regions is ranked 460th on the Fortune 500 and is component headquartered in Alabama. Regions is also on the list of largest banks in the United States.
Regions is the largest deposit holder in Alabama and Tennessee. It is also one of the largest deposit holders in Arkansas, Louisiana, Mississippi, and Florida.The company sponsors Regions Field, a Minor League Baseball stadium in Birmingham, Alabama, and The Tradition golf tournament. It sponsored the Regions Charity Classic, a golf tournament held in 2009 and 2010.
The company has a partnership with Operation HOPE, Inc. to provide free financial education to underserved community. In 2019, the company expanded its Workday, Inc. system in partnership with EnterpriseAlumni to engage and enable ex-employees to extend their corporate social responsibility initiatives."
Becton Dickinson,BDX,"Becton, Dickinson and Company (BD) is an American medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD  also provides consulting and analytics services in certain geographies. Founded in 1897 and headquartered in Franklin Lakes, New Jersey, BD employs nearly 76,000 people in more than 50 countries throughout the world. In the fiscal year ending September 30, 2009, 60% of BD sales were generated from non-U.S. markets.
The company's customers include health care institutions, science researchers, clinical laboratories, the pharmaceutical industry, and the general public. BD was one of the first companies to sell U.S.-made glass syringes. It was also a pioneer in the production of hypodermic needles. Today, BD is divided into two segments: BD Medical and BD Life Sciences. BD is ranked #251 in the 2018 Fortune 500 list.The firm in October 2014 agreed to acquire CareFusion for a price of $12.2 billion in cash and stock. In April 2017 Becton Dickinson agreed to acquire C. R. Bard for $24 billion."
Vectren,VVC,"Vectren Corporation was a Fortune 1000 energy holding company headquartered in Evansville, Indiana. Through its utility subsidiaries (Vectren North, Vectren South, and Vectren Energy Delivery of Ohio), the company distributes natural gas to approximately one million business and residential customers in Indiana and Ohio. It also distributes electricity to 141,000 customers and has 1,425 MW of primarily coal-fired generating capacity in Indiana. Vectren's nonutility subsidiaries and affiliates currently offer energy-related products and services to customers throughout the Midwest and Southeast. These include energy performance services and energy infrastructure services."
Aflac,AFL,"Aflac Inc.  (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States. The company was founded in 1955 and is based in Columbus, Georgia. In the U.S., Aflac underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness. The company states it ""provides financial protection to more than 50 million people worldwide"".In 2009, Aflac acquired Continental American Insurance Company for $100 million; this enabled Aflac to sell supplemental insurance on both the individual and group platform. As of June 30, 2012, Aflac was represented by approximately 19,300 sales agencies in Japan, and 76,900 licensed sales associates in the U.S."
Voya Financial,VOYA,"Voya Financial is an American financial, retirement, investment and insurance company based in New York, New York. Voya began as ING U.S., the United States operating subsidiary of ING Group, which was spun off in 2013 and established independent financial backing through an initial public offering. In April 2014, the company rebranded itself as Voya Financial. Voya's predecessors had first entered the U.S. market in the 1970s.
As of 2016, Voya served approximately 14.7 million customers with over $550 billion combined in assets under management (AUM) and assets under administration (AUA)."
Lockheed Martin,LMT,"Lockheed Martin Corporation is an American global aerospace, defense, security and advanced technologies company with worldwide interests. It was formed by the merger of Lockheed Corporation with Martin Marietta in March 1995. It is headquartered in North Bethesda, Maryland, in the Washington, D.C., area. Lockheed Martin employs approximately 100,000 people worldwide as of December 2017.Lockheed Martin is one of the largest companies in the aerospace, defense, security, and technologies industry. It is the world's largest defense contractor based on revenue for fiscal year 2014. In 2013, 78% of Lockheed Martin's revenues came from military sales; it topped the list of US federal government contractors and received nearly 10% of the funds paid out by the Pentagon. In 2009 US government contracts accounted for $38.4 billion (85%), foreign government contracts $5.8 billion (13%), and commercial and other contracts for $900 million (2%).Lockheed Martin operates in four business segments: Aeronautics, Missiles and Fire Control, Rotary and Mission Systems, and Space Systems. The company has received the Collier Trophy six times, including in 2001 for being part of developing the X-35/F-35B LiftFan Propulsion System, and most recently in 2006 for leading the team that developed the F-22 Raptor fighter jet. Lockheed Martin is currently developing the F-35 Lightning II and leads the international supply chain, leads the team for the development and implementation of technology solutions for the new USAF Space Fence (AFSSS replacement), and is the primary contractor for the development of the Orion command module. The company also invests in healthcare systems, renewable energy systems, intelligent energy distribution and compact nuclear fusion."
Valvoline,VVV,"Ashland Global Specialty Chemicals Inc. is an American chemical company which operates in more than 100 countries. Headquartered in Covington, Kentucky, the company traces its roots back to the city of Ashland, Kentucky, where it was headquartered from 1924 to 1999. The company currently has five wholly owned divisions, which include Chemical Intermediates and Solvents, Composites, Industrial Specialties, Personal and Home Care, & Pharmaceuticals, Food and Beverage, and Agriculture. Until 2017, the company was the primary manufacturer of Valvoline."
Twitter,TWTR,"Twitter () is a microblogging and social networking service on which users post and interact with messages known as ""tweets"". Tweets were originally restricted to 140 characters, but on November 7, 2017, this limit was doubled to 280 for all languages except Chinese, Japanese, and Korean. Registered users can post, like, and retweet tweets, but unregistered users can only read them. Users access Twitter through its website interface, through Short Message Service (SMS) or its mobile-device application software (""app""). Twitter, Inc. is based in San Francisco, California, and has more than 25 offices around the world.
Twitter was created in March 2006 by Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams, launched in July of that year. The service rapidly gained worldwide popularity. In 2012, more than 100 million users posted 340 million tweets a day, and the service handled an average of 1.6 billion search queries per day. In 2013, it was one of the ten most-visited websites and has been described as ""the SMS of the Internet"". As of 2018, Twitter had more than 321 million monthly active users. Since 2015 Twitter has been a hotbed of debates and news covering politics of the United States. During the 2016 U.S. presidential election, Twitter was the largest source of breaking news on the day, with 40 million election-related tweets sent by 10:00 p.m. (Eastern Time) that day."
Leidos Holdings,LDOS,"Leidos, formerly known as Science Applications International Corporation (SAIC), is an American defense, aviation, information technology, and biomedical research company headquartered in Reston, Virginia, that provides scientific, engineering, systems integration, and technical services. Leidos works extensively with the United States Department of Defense (4th largest DoD contractor FY2012), the United States Department of Homeland Security, and the United States Intelligence Community, including the NSA, as well as other U.S. government civil agencies and selected commercial markets.

"
Netflix,NFLX,"Netflix, Inc. () is an American media-services provider and production company headquartered in Los Gatos, California, founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is its subscription-based streaming service which offers online streaming of a library of films and television programs, including those produced in-house. As of April 2019, Netflix had over 148 million paid subscriptions worldwide, including 60 million in the United States, and over 154 million subscriptions total including free trials. It is available worldwide except in mainland China (due to local restrictions), Syria, North Korea, Iran, and Crimea (due to US sanctions). The company also has offices in the Netherlands, Brazil, India, Japan, and South Korea. Netflix is a member of the Motion Picture Association (MPA).
Netflix's initial business model included DVD sales and rental by mail, but Hastings abandoned the sales about a year after the company's founding to focus on the initial DVD rental business. Netflix expanded its business in 2010 with the introduction of streaming media while retaining the DVD and Blu-ray rental business. The company expanded internationally in 2010 with streaming available in Canada, followed by Latin America and the Caribbean. Netflix entered the content-production industry in 2012, debuting its first series Lilyhammer.
Since 2012, Netflix has taken more of an active role as producer and distributor for both film and television series, and to that end, it offers a variety of ""Netflix Original"" content through its online library. By January 2016, Netflix services operated in more than 190 countries. Netflix released an estimated 126 original series and films in 2016, more than any other network or cable channel. Their efforts to produce new content, secure the rights for additional content, and diversify through 190 countries have resulted in the company racking up billions in debt: $21.9 billion as of September 2017, up from $16.8 billion from the previous year. $6.5 billion of this is long-term debt, while the remaining is in long-term obligations. In October 2018, Netflix announced it would raise another $2 billion in debt to help fund new content."
Centerpoint Energy,CNP,"CenterPoint Energy is a Fortune 500 electric and natural gas utility serving several markets in the U.S. states of Arkansas, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas. It was formerly known as Reliant Energy (from which it is now separated), NorAm Energy, Houston Industries, and HL&P. The company is headquartered in the CenterPoint Energy Tower at 1111 Louisiana Street in Downtown Houston. Some of its notable subscribers include Retail Electric Providers (REPs), such as NRG Energy, Champion Energy, Eligo Energy, Dynowatt, Ambit Energy, Texas Power, Bounce Energy, MXenergy, Direct Energy, Stream Energy, First Texas Energy Corporation, Gexa Energy, Cirro Energy, and Kona Energy.

"
Hershey Company,HSY,"The Hershey Company, commonly known as Hershey, is an American multinational company and one of the largest chocolate manufacturers in the world. It also manufactures baked products, such as cookies, cakes, milk shakes, drinks and many more. Its headquarters are in Hershey, Pennsylvania, which is also home to Hersheypark and Hershey's Chocolate World. It was founded by Milton S. Hershey in 1894 as the Hershey Chocolate Company, a subsidiary of his Lancaster Caramel Company. The Hershey Trust Company owns a minority stake, but retains a majority of the voting power within the company.Hershey's chocolate is available across the United States, and in over 60 countries worldwide. They have three large distribution centers, with modern technology and labor management systems. In addition, Hershey is a member of the World Cocoa Foundation. It is also associated with the Hersheypark Stadium and the Giant Center."
Goldman Sachs,GS,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting.
The bank is one of the largest investment banking enterprises in the world, and is a primary dealer in the United States Treasury security market and more generally, a prominent market maker. The group also owns Goldman Sachs Bank USA, a direct bank. Goldman Sachs was founded in 1869 and is headquartered at 200 West Street in Lower Manhattan with additional offices in other international financial centers.As a result of its involvement in securitization during the subprime mortgage crisis, Goldman Sachs suffered during the financial crisis of 2007–2008, and received a $10 billion investment from the United States Department of the Treasury as part of the Troubled Asset Relief Program, a financial bailout created by the Emergency Economic Stabilization Act of 2008. The investment was made in November 2008 and was repaid in June 2009.Former employees of Goldman Sachs have moved on to government positions. Notable examples includes former U.S. Secretaries of the Treasury Robert Rubin and Henry Paulson; current United States Secretary of the Treasury Steven Mnuchin; former Under Secretary of State John C. Whitehead; former chief economic advisor Gary Cohn; United States Senator and former Governor of New Jersey Jon Corzine; former Prime Minister of Italy Mario Monti; European Central Bank President Mario Draghi; former Bank of Canada Governor and current Governor of the Bank of England Mark Carney; and the former Prime Minister of Australia Malcolm Turnbull. In addition, former Goldman employees have headed the New York Stock Exchange, the World Bank, and competing banks such as Citigroup and Merrill Lynch.
The company is ranked 62nd on the Fortune 500 list of the largest United States corporations by total revenue."
Sempra Energy,SRE,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.For 2018, Sempra Energy reported more than $11.6 billion in revenue and 20,000 employees, serving more than 40 million customers worldwide."
Zimmer Biomet,ZBH,"Zimmer Biomet is a publicly traded medical device company. It was founded in 1927 to produce aluminum splints. The firm is headquartered in Warsaw, Indiana, where it is part of the medical devices business cluster.
In 2001 Zimmer was spun off from Bristol-Myers Squibb and began trading on the New York Stock Exchange, on August 7, under the ticker symbol “ZMH”. In November 2011, the company acquired ExtraOrtho, Inc. (ExtraOrtho). In January 2012, the company acquired Reno, Nevada-based Synvasive Technology, Inc. On June 29, 2015, the company changed the ticker symbol to ""ZBH"" to reflect its acquisition of Biomet.On January 12, 2017, Zimmer Biomet announced a resolution with the DOJ and the SEC in which it agreed to pay a fine of approximately $30.5 million, an amount which would not affect its 2017 outlook."
Pioneer Natural Resources,PXD,"Pioneer Natural Resources Company is a company engaged in hydrocarbon exploration in the Cline Shale, which is part of the Spraberry Trend of the Permian Basin, where the company is the largest acreage holder. The company is organized in Delaware and headquartered in Irving, Texas.
The company is ranked 497th on the Fortune 500.As of December 31, 2018, the company had 1.049 billion barrels of oil equivalent (6.42×109 GJ) of proved reserves, of which 54% was petroleum, 23% was natural gas liquids, and 23% was natural gas. In 2018, the company produced 319 thousand barrels of oil equivalent (1,950,000 GJ) per day, of which 60% was petroleum, 19% was natural gas liquids, and 21% was natural gas."
International Flavors & Fragrances,IFF,"International Flavors & Fragrances is an American corporation producing flavors and fragrances and cosmetic actives, which it markets globally. It is headquartered in New York City and has creative, sales, and manufacturing facilities in 35 different countries. The company is a member of the S&P 500 Index."
Albemarle,ALB,
Cognizant Tech Solutions,CTSH,"Cognizant is an American multinational corporation that provides IT services, including digital, technology, consulting, and operations services. It is headquartered in Teaneck, New Jersey, United States. Cognizant is part of the NASDAQ-100 and trades under CTSH.  It was founded as an in-house technology unit of Dun & Bradstreet in 1994, and started serving external clients in 1996.After a series of corporate re-organisations there was an initial public offering in 1998.Cognizant had a period of fast growth during the 2000s, becoming a Fortune 500 company in 2011. The company has been involved in a number of controversies in India, Ireland, and the United States."
Electronic Arts,EA,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive and Ubisoft as of March 2018.Founded and incorporated on May 27, 1982, by Apple employee Trip Hawkins, the company was a pioneer of the early home computer games industry and was notable for promoting the designers and programmers responsible for its games. EA published numerous games and productivity software for personal computers and later experimented on techniques to internally develop games, leading to the 1987 release of Skate or Die!. The company would later decide in favor of abandoning their original principles and acquiring smaller companies that they see profitable, as well as annually releasing franchises to stay profitable.
Currently, EA develops and publishes games of established franchises, including Battlefield, Need for Speed, The Sims, Medal of Honor, Command & Conquer, Dead Space, Mass Effect, Dragon Age, Army of Two, Titanfall, and Star Wars, as well as the EA Sports titles FIFA, Madden NFL, NBA Live, NHL, and EA Sports UFC. Their desktop titles appear on self-developed Origin, an online gaming digital distribution platform for PCs and a direct competitor to Valve's Steam and Epic Games' Epic Games Store. EA also owns and operates major gaming studios such as EA Tiburon in Orlando, EA Vancouver in Burnaby, DICE in Sweden and Los Angeles, BioWare in Edmonton and Austin, and Respawn Entertainment in Los Angeles."
ServiceNow,NOW,"ServiceNow, Inc. (Service-now in 2011) is an American cloud computing company with its headquarters in Santa Clara, California. It was founded in 2004 by Fred Luddy. ServiceNow is listed on the New York Stock Exchange and is a constituent of the Russell 1000 Index."
